2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-09 21:43:26,570 INFO Started: 20260309_214326
2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-09 21:43:26,570 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-09 21:43:26,570 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-09 21:43:26,572 INFO 
Found 542 input files

2026-03-09 21:43:26,572 INFO [1/542] BFI-0000234
2026-03-09 22:29:47,262 INFO   152,208 sequences -> part_table_BFI-0003483.bz2
2026-03-09 22:30:00,705 INFO   138,735 sequences -> part_table_BFI-0003484.bz2
2026-03-09 22:30:11,336 INFO   109,538 sequences -> part_table_BFI-0003485.bz2
2026-03-09 22:30:22,636 INFO   116,878 sequences -> part_table_BFI-0003486.bz2
2026-03-09 22:30:34,436 INFO   122,310 sequences -> part_table_BFI-0003487.bz2
2026-03-09 22:31:39,903 INFO   648,384 sequences -> part_table_BFI-0003488.bz2
2026-03-09 22:31:44,927 INFO   54,531 sequences -> part_table_BFI-0003700.bz2
2026-03-09 22:31:53,784 INFO   93,986 sequences -> part_table_BFI-0003701.bz2
2026-03-09 22:32:01,204 INFO   79,860 sequences -> part_table_BFI-0003702.bz2
2026-03-09 22:32:08,342 INFO   77,182 sequences -> part_table_BFI-0003703.bz2
2026-03-09 22:32:15,571 INFO   77,140 sequences -> part_table_BFI-0003704.bz2
2026-03-09 22:32:22,998 INFO   80,800 sequences -> part_table_BFI-0003705.bz2
2026-03-09 22:32:30,542 INFO   80,600 sequences -> part_table_BFI-0003706.bz2
2026-03-09 22:32:38,473 INFO   83,650 sequences -> part_table_BFI-0003707.bz2
2026-03-09 22:32:45,472 INFO   74,626 sequences -> part_table_BFI-0003708.bz2
2026-03-09 22:32:53,301 INFO   83,051 sequences -> part_table_BFI-0003709.bz2
2026-03-09 22:33:00,377 INFO   75,791 sequences -> part_table_BFI-0003710.bz2
2026-03-09 22:33:16,916 INFO   168,096 sequences -> part_table_BFI-0003711.bz2
2026-03-09 22:33:34,770 INFO   178,874 sequences -> part_table_BFI-0003712.bz2
2026-03-09 22:33:51,348 INFO   169,751 sequences -> part_table_BFI-0003713.bz2
2026-03-09 22:34:07,538 INFO   160,690 sequences -> part_table_BFI-0003714.bz2
2026-03-09 22:34:23,461 INFO   161,920 sequences -> part_table_BFI-0003715.bz2
2026-03-09 22:34:37,640 INFO   144,670 sequences -> part_table_BFI-0003716.bz2
2026-03-09 22:34:54,005 INFO   164,469 sequences -> part_table_BFI-0003717.bz2
2026-03-09 22:35:11,344 INFO   174,055 sequences -> part_table_BFI-0003718.bz2
2026-03-09 22:35:29,037 INFO   179,439 sequences -> part_table_BFI-0003719.bz2
2026-03-09 22:35:46,441 INFO   173,218 sequences -> part_table_BFI-0003720.bz2
2026-03-09 22:36:02,247 INFO   160,905 sequences -> part_table_BFI-0003721.bz2
2026-03-09 22:36:08,212 INFO   61,895 sequences -> part_table_BFI-0003722.bz2
2026-03-09 22:36:16,099 INFO   82,806 sequences -> part_table_BFI-0003723.bz2
2026-03-09 22:36:24,090 INFO   84,082 sequences -> part_table_BFI-0003724.bz2
2026-03-09 22:36:30,806 INFO   71,955 sequences -> part_table_BFI-0003725.bz2
2026-03-09 22:36:35,681 INFO   51,697 sequences -> part_table_BFI-0003726.bz2
